2022-06-11 16:49:00.872,Duty Cycle (%),LDR 3
2022-06-11 16:49:00.972,0,0
2022-06-11 16:49:01.969,0,0
2022-06-11 16:49:02.972,0,0
2022-06-11 16:49:03.972,0,0
2022-06-11 16:49:04.970,0,0
2022-06-11 16:49:05.974,0,0
2022-06-11 16:49:06.970,0,0
2022-06-11 16:49:07.970,0,0
2022-06-11 16:49:08.971,0,0
2022-06-11 16:49:09.972,0,0
2022-06-11 16:49:10.973,0,0
2022-06-11 16:49:12.074,1,1261
2022-06-11 16:49:13.072,1,1486
2022-06-11 16:49:14.070,1,1489
2022-06-11 16:49:15.069,1,1489
2022-06-11 16:49:16.071,1,1491
2022-06-11 16:49:17.072,1,1489
2022-06-11 16:49:18.071,1,1425
2022-06-11 16:49:19.072,1,1488
2022-06-11 16:49:20.071,1,1490
2022-06-11 16:49:21.070,1,1488
2022-06-11 16:49:22.071,1,1488
2022-06-11 16:49:23.170,2,1880
2022-06-11 16:49:24.171,2,1899
2022-06-11 16:49:25.172,2,1901
2022-06-11 16:49:26.172,2,1902
2022-06-11 16:49:27.175,2,1902
2022-06-11 16:49:28.171,2,1904
2022-06-11 16:49:29.172,2,1902
2022-06-11 16:49:30.173,2,1899
2022-06-11 16:49:31.171,2,1905
2022-06-11 16:49:32.172,2,1900
2022-06-11 16:49:33.171,2,1909
2022-06-11 16:49:34.271,3,2133
2022-06-11 16:49:35.272,3,2145
2022-06-11 16:49:36.270,3,2145
2022-06-11 16:49:37.271,3,2142
2022-06-11 16:49:38.271,3,2143
2022-06-11 16:49:39.272,3,2145
2022-06-11 16:49:40.270,3,2142
2022-06-11 16:49:41.271,3,2129
2022-06-11 16:49:42.271,3,2141
2022-06-11 16:49:43.276,3,2142
2022-06-11 16:49:44.272,3,2139
2022-06-11 16:49:45.372,4,2285
2022-06-11 16:49:46.373,4,2289
2022-06-11 16:49:47.370,4,2288
2022-06-11 16:49:48.371,4,2288
2022-06-11 16:49:49.373,4,2288
2022-06-11 16:49:50.371,4,2285
2022-06-11 16:49:51.373,4,2288
2022-06-11 16:49:52.374,4,2288
2022-06-11 16:49:53.370,4,2273
2022-06-11 16:49:54.373,4,2286
2022-06-11 16:49:55.373,4,2285
2022-06-11 16:49:56.470,5,2401
2022-06-11 16:49:57.474,5,2401
2022-06-11 16:49:58.473,5,2403
2022-06-11 16:49:59.472,5,2396
2022-06-11 16:50:00.471,5,2403
2022-06-11 16:50:01.473,5,2398
2022-06-11 16:50:02.472,5,2395
2022-06-11 16:50:03.472,5,2402
2022-06-11 16:50:04.473,5,2461
2022-06-11 16:50:05.473,5,2399
2022-06-11 16:50:06.471,5,2399
2022-06-11 16:50:07.572,6,2480
2022-06-11 16:50:08.570,6,2486
2022-06-11 16:50:09.572,6,2490
2022-06-11 16:50:10.573,6,2491
2022-06-11 16:50:11.573,6,2493
2022-06-11 16:50:12.573,6,2480
2022-06-11 16:50:13.574,6,2515
2022-06-11 16:50:14.575,6,2489
2022-06-11 16:50:15.571,6,2485
2022-06-11 16:50:16.572,6,2491
2022-06-11 16:50:17.574,6,2485
2022-06-11 16:50:18.673,7,2584
2022-06-11 16:50:19.680,7,2678
2022-06-11 16:50:20.673,7,2576
2022-06-11 16:50:21.670,7,2572
2022-06-11 16:50:22.673,7,2580
2022-06-11 16:50:23.672,7,2578
2022-06-11 16:50:24.671,7,2575
2022-06-11 16:50:25.671,7,2577
2022-06-11 16:50:26.675,7,2577
2022-06-11 16:50:27.673,7,2576
2022-06-11 16:50:28.673,7,2576
2022-06-11 16:50:29.771,8,2640
2022-06-11 16:50:30.773,8,2669
2022-06-11 16:50:31.773,8,2640
2022-06-11 16:50:32.771,8,2623
2022-06-11 16:50:33.774,8,2576
2022-06-11 16:50:34.774,8,2628
2022-06-11 16:50:35.773,8,2640
2022-06-11 16:50:36.773,8,2620
2022-06-11 16:50:37.772,8,2639
2022-06-11 16:50:38.781,8,2623
2022-06-11 16:50:39.771,8,2640
2022-06-11 16:50:40.872,9,2700
2022-06-11 16:50:41.873,9,2701
2022-06-11 16:50:42.876,9,2704
2022-06-11 16:50:43.872,9,2704
2022-06-11 16:50:44.875,9,2704
2022-06-11 16:50:45.873,9,2701
2022-06-11 16:50:46.874,9,2700
2022-06-11 16:50:47.872,9,2738
2022-06-11 16:50:48.872,9,2702
2022-06-11 16:50:49.873,9,2701
2022-06-11 16:50:50.874,9,2703
2022-06-11 16:50:51.973,10,2752
2022-06-11 16:50:52.973,10,2754
2022-06-11 16:50:53.974,10,2751
2022-06-11 16:50:54.973,10,2752
2022-06-11 16:50:55.977,10,2755
2022-06-11 16:50:56.975,10,2752
2022-06-11 16:50:57.975,10,2754
2022-06-11 16:50:58.972,10,2753
2022-06-11 16:50:59.976,10,2752
2022-06-11 16:51:00.972,10,2751
2022-06-11 16:51:01.974,10,2752
2022-06-11 16:51:03.072,20,3088
