2022-06-11 19:51:01.864,Duty Cycle (%),LDR 3
2022-06-11 19:51:01.964,0,560
2022-06-11 19:51:02.965,0,593
2022-06-11 19:51:03.963,0,594
2022-06-11 19:51:04.966,0,598
2022-06-11 19:51:05.966,0,594
2022-06-11 19:51:06.964,0,597
2022-06-11 19:51:07.964,0,593
2022-06-11 19:51:08.964,0,594
2022-06-11 19:51:09.966,0,596
2022-06-11 19:51:10.967,0,594
2022-06-11 19:51:11.964,0,592
