2022-06-11 16:42:16.754,Duty Cycle (%),LDR 2
2022-06-11 16:42:16.854,0,0
2022-06-11 16:42:17.855,0,0
2022-06-11 16:42:18.853,0,0
2022-06-11 16:42:19.855,0,0
2022-06-11 16:42:20.853,0,0
2022-06-11 16:42:21.852,0,0
2022-06-11 16:42:22.855,0,0
2022-06-11 16:42:23.853,0,0
2022-06-11 16:42:24.855,0,0
2022-06-11 16:42:25.856,0,0
2022-06-11 16:42:26.852,0,0
2022-06-11 16:42:27.952,1,203
2022-06-11 16:42:28.953,1,615
2022-06-11 16:42:29.952,1,624
2022-06-11 16:42:30.952,1,624
2022-06-11 16:42:31.955,1,627
2022-06-11 16:42:32.953,1,630
2022-06-11 16:42:33.952,1,633
2022-06-11 16:42:34.953,1,626
2022-06-11 16:42:35.954,1,627
2022-06-11 16:42:36.954,1,634
2022-06-11 16:42:37.952,1,634
2022-06-11 16:42:39.055,2,995
2022-06-11 16:42:40.056,2,976
2022-06-11 16:42:41.053,2,982
2022-06-11 16:42:42.055,2,978
2022-06-11 16:42:43.053,2,981
2022-06-11 16:42:44.056,2,979
2022-06-11 16:42:45.056,2,980
2022-06-11 16:42:46.055,2,978
2022-06-11 16:42:47.056,2,977
2022-06-11 16:42:48.055,2,977
2022-06-11 16:42:49.058,2,978
2022-06-11 16:42:50.154,3,1217
2022-06-11 16:42:51.155,3,1229
2022-06-11 16:42:52.154,3,1226
2022-06-11 16:42:53.154,3,1222
2022-06-11 16:42:54.154,3,1222
2022-06-11 16:42:55.153,3,1223
2022-06-11 16:42:56.155,3,1226
2022-06-11 16:42:57.157,3,1227
2022-06-11 16:42:58.154,3,1224
2022-06-11 16:42:59.153,3,1219
2022-06-11 16:43:00.157,3,1223
2022-06-11 16:43:01.255,4,1382
2022-06-11 16:43:02.258,4,1388
2022-06-11 16:43:03.256,4,1383
2022-06-11 16:43:04.256,4,1395
2022-06-11 16:43:05.255,4,1387
2022-06-11 16:43:06.253,4,1362
2022-06-11 16:43:07.254,4,1488
2022-06-11 16:43:08.253,4,1382
2022-06-11 16:43:09.257,4,1385
2022-06-11 16:43:10.257,4,1384
